"hw.number","mean.temp","max.temp","min.temp","length","start.date","end.date","start.doy","start.month","days.above.80","days.above.85","days.above.90","days.above.95","days.above.99th","days.above.99.5th","first.in.season","threshold","mean.temp.quantile","max.temp.quantile","min.temp.quantile","mean.temp.1","mean.summer.temp","city"
28,85.7599999999999,87.5839999999999,83.012,3,2073-07-18,2073-07-20,198,7,3,2,0,0,2,2,0,82.92344,0.997808219178082,1,0.980821917808219,57.8600032876712,73.4487058823529,"balt"
29,89.009,91.886,85.4239999999999,12,2073-07-24,2073-08-04,204,7,12,12,3,0,12,12,0,82.92344,1,1,0.996712328767123,57.8600032876712,73.4487058823529,"balt"
30,84.248,85.262,83.4619999999999,3,2073-08-09,2073-08-11,220,8,3,1,0,0,2,1,0,82.92344,0.992054794520548,0.996164383561644,0.986027397260274,57.8600032876712,73.4487058823529,"balt"
31,84.866,86.36,83.5159999999999,6,2073-08-16,2073-08-21,227,8,6,3,0,0,5,3,0,82.92344,0.994246575342466,0.999178082191781,0.986575342465753,57.8600032876712,73.4487058823529,"balt"
32,84.4556,85.046,83.93,5,2073-08-24,2073-08-28,235,8,5,1,0,0,5,1,0,82.92344,0.993150684931507,0.995342465753425,0.99041095890411,57.8600032876712,73.4487058823529,"balt"
33,83.795,84.002,83.588,2,2073-09-06,2073-09-07,248,9,2,0,0,0,1,0,0,82.92344,0.98986301369863,0.99041095890411,0.987397260273973,57.8600032876712,73.4487058823529,"balt"
34,85.7192,86.5760000000001,84.8659999999999,5,2073-09-17,2073-09-21,259,9,5,4,0,0,5,4,0,82.92344,0.997808219178082,0.999452054794521,0.994246575342466,57.8600032876712,73.4487058823529,"balt"
35,84.344,84.416,84.272,2,2074-06-03,2074-06-04,153,6,2,0,0,0,2,0,1,82.92344,0.992602739726027,0.992602739726027,0.992328767123288,57.8600032876712,73.4487058823529,"balt"
36,88.1471428571428,95.198,83.444,21,2074-06-26,2074-07-16,176,6,21,17,7,1,20,17,0,82.92344,1,1,0.985479452054794,57.8600032876712,73.4487058823529,"balt"
37,87.6785,96.206,83.0480000000001,16,2074-07-18,2074-08-02,198,7,16,12,5,1,14,12,0,82.92344,1,1,0.980821917808219,57.8600032876712,73.4487058823529,"balt"
38,87.515375,93.254,84.398,16,2074-08-06,2074-08-21,217,8,16,14,3,0,16,14,0,82.92344,1,1,0.992602739726027,57.8600032876712,73.4487058823529,"balt"
39,85.5725,88.16,83.6060000000001,4,2074-08-25,2074-08-28,236,8,4,2,0,0,2,2,0,82.92344,0.996986301369863,1,0.987397260273973,57.8600032876712,73.4487058823529,"balt"
40,87.026,93.488,83.5159999999999,12,2074-08-31,2074-09-11,242,8,12,5,3,0,11,5,0,82.92344,0.99972602739726,1,0.986575342465753,57.8600032876712,73.4487058823529,"balt"
41,83.432,83.8940000000001,82.9399999999999,3,2075-05-16,2075-05-18,135,5,3,0,0,0,1,0,1,82.92344,0.985205479452055,0.99041095890411,0.98,57.8600032876712,73.4487058823529,"balt"
42,85.136,86.468,83.6060000000001,4,2075-06-04,2075-06-07,154,6,4,2,0,0,3,2,0,82.92344,0.995616438356164,0.999178082191781,0.987397260273973,57.8600032876712,73.4487058823529,"balt"
43,85.2035,87.206,83.156,4,2075-06-10,2075-06-13,160,6,4,2,0,0,2,2,0,82.92344,0.995616438356164,0.99972602739726,0.982191780821918,57.8600032876712,73.4487058823529,"balt"
44,86.468,89.42,85.244,5,2075-06-20,2075-06-24,170,6,5,5,0,0,5,5,0,82.92344,0.999178082191781,1,0.995890410958904,57.8600032876712,73.4487058823529,"balt"
45,83.9525,84.398,83.4260000000001,4,2075-06-27,2075-06-30,177,6,4,0,0,0,3,0,0,82.92344,0.99041095890411,0.992602739726027,0.985205479452055,57.8600032876712,73.4487058823529,"balt"
46,86.9423529411765,94.6760000000001,83.282,17,2075-07-04,2075-07-20,184,7,17,14,2,0,15,14,0,82.92344,0.99972602739726,1,0.983561643835616,57.8600032876712,73.4487058823529,"balt"
47,84.338,84.7760000000001,83.966,3,2075-07-26,2075-07-28,206,7,3,0,0,0,3,0,0,82.92344,0.992602739726027,0.993698630136986,0.99041095890411,57.8600032876712,73.4487058823529,"balt"
48,88.4369230769231,92.948,83.6780000000001,13,2075-08-01,2075-08-13,212,8,13,10,6,0,12,10,0,82.92344,1,1,0.988493150684931,57.8600032876712,73.4487058823529,"balt"
49,85.523,85.838,85.2079999999999,2,2075-08-24,2075-08-25,235,8,2,2,0,0,2,2,0,82.92344,0.996986301369863,0.998356164383562,0.995616438356164,57.8600032876712,73.4487058823529,"balt"
50,83.6419999999999,84.038,83.2459999999999,2,2075-09-04,2075-09-05,246,9,2,0,0,0,1,0,0,82.92344,0.987671232876712,0.99041095890411,0.982465753424658,57.8600032876712,73.4487058823529,"balt"
51,87.29,87.98,86.6299999999999,3,2076-06-13,2076-06-15,164,6,3,3,0,0,3,3,1,82.92344,0.99972602739726,1,0.99972602739726,57.8600032876712,73.4487058823529,"balt"
52,84.956,86.7200000000001,83.192,2,2076-07-05,2076-07-06,186,7,2,1,0,0,1,1,0,82.92344,0.994520547945206,0.99972602739726,0.982465753424658,57.8600032876712,73.4487058823529,"balt"
53,84.2089999999999,84.686,83.7319999999999,2,2076-07-09,2076-07-10,190,7,2,0,0,0,1,0,0,82.92344,0.991506849315068,0.993698630136986,0.989315068493151,57.8600032876712,73.4487058823529,"balt"
54,87.3176,89.942,84.2,5,2076-07-12,2076-07-16,193,7,5,4,0,0,5,4,0,82.92344,0.99972602739726,1,0.991506849315068,57.8600032876712,73.4487058823529,"balt"
55,84.5168,85.7659999999999,83.4619999999999,5,2076-07-19,2076-07-23,200,7,5,1,0,0,3,1,0,82.92344,0.993424657534247,0.998082191780822,0.986027397260274,57.8600032876712,73.4487058823529,"balt"
56,87.3785,89.456,83.642,12,2076-08-04,2076-08-15,216,8,12,11,0,0,11,11,0,82.92344,0.99972602739726,1,0.987945205479452,57.8600032876712,73.4487058823529,"balt"
57,85.586,88.3940000000001,84.11,8,2076-08-18,2076-08-25,230,8,8,5,0,0,8,5,0,82.92344,0.996986301369863,1,0.990684931506849,57.8600032876712,73.4487058823529,"balt"
58,84.5708,87.242,83.2459999999999,5,2076-09-01,2076-09-05,244,9,5,2,0,0,2,1,0,82.92344,0.993698630136986,0.99972602739726,0.982465753424658,57.8600032876712,73.4487058823529,"balt"
59,83.435,83.66,83.21,2,2076-09-09,2076-09-10,252,9,2,0,0,0,0,0,0,82.92344,0.985205479452055,0.988219178082192,0.982465753424658,57.8600032876712,73.4487058823529,"balt"
60,83.8805,84.236,83.4619999999999,4,2076-09-15,2076-09-18,258,9,4,0,0,0,2,0,0,82.92344,0.99041095890411,0.992054794520548,0.986027397260274,57.8600032876712,73.4487058823529,"balt"
61,86.288,89.33,84.182,5,2077-06-15,2077-06-19,165,6,5,4,0,0,5,4,1,82.92344,0.999178082191781,1,0.991506849315068,57.8600032876712,73.4487058823529,"balt"
62,85.127,85.6399999999999,84.614,2,2077-06-27,2077-06-28,177,6,2,1,0,0,2,1,0,82.92344,0.995616438356164,0.997534246575343,0.993698630136986,57.8600032876712,73.4487058823529,"balt"
63,86.8826428571429,90.8239999999999,83.372,28,2077-07-10,2077-08-06,190,7,28,26,2,0,27,26,0,82.92344,0.99972602739726,1,0.984657534246575,57.8600032876712,73.4487058823529,"balt"
64,85.3112,88.376,83.0480000000001,15,2077-08-08,2077-08-22,219,8,15,8,0,0,12,8,0,82.92344,0.996438356164384,1,0.980821917808219,57.8600032876712,73.4487058823529,"balt"
65,84.596,84.686,84.506,2,2077-08-24,2077-08-25,235,8,2,0,0,0,2,0,0,82.92344,0.993698630136986,0.993698630136986,0.993424657534247,57.8600032876712,73.4487058823529,"balt"
66,84.02,84.614,83.4260000000001,2,2077-08-30,2077-08-31,241,8,2,0,0,0,1,0,0,82.92344,0.99041095890411,0.993698630136986,0.985205479452055,57.8600032876712,73.4487058823529,"balt"
67,83.849,84.3260000000001,83.372,2,2078-05-21,2078-05-22,140,5,2,0,0,0,1,0,1,82.92344,0.99013698630137,0.992602739726027,0.984657534246575,57.8600032876712,73.4487058823529,"balt"
68,83.561,83.876,83.2459999999999,2,2078-06-05,2078-06-06,155,6,2,0,0,0,1,0,0,82.92344,0.986849315068493,0.99041095890411,0.982465753424658,57.8600032876712,73.4487058823529,"balt"
69,84.758,85.046,84.4700000000001,2,2078-06-12,2078-06-13,162,6,2,1,0,0,2,1,0,82.92344,0.993698630136986,0.995342465753425,0.993424657534247,57.8600032876712,73.4487058823529,"balt"
70,84.821,84.92,84.722,2,2078-06-15,2078-06-16,165,6,2,0,0,0,2,0,0,82.92344,0.994246575342466,0.994520547945206,0.993698630136986,57.8600032876712,73.4487058823529,"balt"
71,86.549,87.098,85.9999999999999,2,2078-06-24,2078-06-25,174,6,2,2,0,0,2,2,0,82.92344,0.999452054794521,0.99972602739726,0.998356164383562,57.8600032876712,73.4487058823529,"balt"
72,86.972,87.9260000000001,86.018,2,2078-06-30,2078-07-01,180,6,2,2,0,0,2,2,0,82.92344,0.99972602739726,1,0.998630136986301,57.8600032876712,73.4487058823529,"balt"
73,86.204,87.368,84.74,6,2078-07-06,2078-07-11,186,7,6,4,0,0,6,4,0,82.92344,0.998904109589041,0.99972602739726,0.993698630136986,57.8600032876712,73.4487058823529,"balt"
74,84.074,84.704,83.444,2,2078-07-14,2078-07-15,194,7,2,0,0,0,1,0,0,82.92344,0.990684931506849,0.993698630136986,0.985479452054794,57.8600032876712,73.4487058823529,"balt"
75,85.3802857142857,87.4760000000001,83.7319999999999,7,2078-07-18,2078-07-24,198,7,7,3,0,0,6,3,0,82.92344,0.996712328767123,1,0.989315068493151,57.8600032876712,73.4487058823529,"balt"
76,86.0360000000001,86.1440000000001,85.9280000000001,2,2078-07-27,2078-07-28,207,7,2,2,0,0,2,2,0,82.92344,0.998630136986301,0.998904109589041,0.998356164383562,57.8600032876712,73.4487058823529,"balt"
77,83.3629999999999,83.552,83.1739999999999,2,2078-08-02,2078-08-03,213,8,2,0,0,0,0,0,0,82.92344,0.984383561643836,0.986849315068493,0.982465753424658,57.8600032876712,73.4487058823529,"balt"
78,86.5511428571428,91.814,83.012,21,2078-08-05,2078-08-25,216,8,21,16,1,0,19,16,0,82.92344,0.999452054794521,1,0.980821917808219,57.8600032876712,73.4487058823529,"balt"
79,84.536,85.946,83.03,3,2079-05-30,2079-06-01,149,5,3,1,0,0,2,1,1,82.92344,0.993424657534247,0.998356164383562,0.980821917808219,57.8600032876712,73.4487058823529,"balt"
80,88.988,94.946,83.228,14,2079-07-05,2079-07-18,185,7,14,12,6,0,12,12,0,82.92344,1,1,0.982465753424658,57.8600032876712,73.4487058823529,"balt"
81,86.348,88.556,83.7499999999999,3,2079-07-21,2079-07-23,201,7,3,2,0,0,2,2,0,82.92344,0.999178082191781,1,0.98986301369863,57.8600032876712,73.4487058823529,"balt"
82,86.9696,89.5280000000001,84.2,15,2079-07-31,2079-08-14,211,7,15,14,0,0,15,14,0,82.92344,0.99972602739726,1,0.991506849315068,57.8600032876712,73.4487058823529,"balt"
83,84.974,85.6760000000001,84.056,3,2079-08-16,2079-08-18,227,8,3,2,0,0,3,2,0,82.92344,0.994520547945206,0.997534246575343,0.990684931506849,57.8600032876712,73.4487058823529,"balt"
84,84.3260000000001,84.7760000000001,83.876,2,2079-08-20,2079-08-21,231,8,2,0,0,0,2,0,0,82.92344,0.992602739726027,0.993698630136986,0.99041095890411,57.8600032876712,73.4487058823529,"balt"
85,86.0144,87.062,84.4700000000001,5,2079-08-29,2079-09-02,240,8,5,4,0,0,5,4,0,82.92344,0.998356164383562,0.99972602739726,0.993424657534247,57.8600032876712,73.4487058823529,"balt"
86,86.027,88.286,83.768,2,2079-09-04,2079-09-05,246,9,2,1,0,0,1,1,0,82.92344,0.998630136986301,1,0.98986301369863,57.8600032876712,73.4487058823529,"balt"
1,82.508,83.6060000000001,81.41,2,2070-06-03,2070-06-04,153,6,2,0,0,0,1,0,1,81.2119999999999,0.98958904109589,0.994794520547945,0.982191780821918,55.3434849315068,71.1536823529412,"ny"
2,83.096,85.568,81.302,3,2070-06-17,2070-06-19,167,6,3,1,0,0,1,1,0,81.2119999999999,0.992054794520548,0.99972602739726,0.981369863013699,55.3434849315068,71.1536823529412,"ny"
3,85.1115714285714,89.546,81.2119999999999,14,2070-07-07,2070-07-20,187,7,14,8,0,0,12,10,0,81.2119999999999,0.999178082191781,1,0.98027397260274,55.3434849315068,71.1536823529412,"ny"
4,85.391,88.34,83.3360000000001,6,2070-07-22,2070-07-27,202,7,6,3,0,0,6,5,0,81.2119999999999,0.99972602739726,1,0.993424657534247,55.3434849315068,71.1536823529412,"ny"
5,86.5088461538462,92.912,81.878,26,2070-08-01,2070-08-26,212,8,26,15,6,0,23,19,0,81.2119999999999,1,1,0.986301369863014,55.3434849315068,71.1536823529412,"ny"
6,83.954,84.416,83.552,3,2070-09-23,2070-09-25,265,9,3,0,0,0,3,2,0,81.2119999999999,0.996438356164384,0.998356164383562,0.994246575342466,55.3434849315068,71.1536823529412,"ny"
7,81.95,82.562,81.338,2,2071-06-07,2071-06-08,157,6,2,0,0,0,0,0,1,81.2119999999999,0.986849315068493,0.98958904109589,0.981643835616438,55.3434849315068,71.1536823529412,"ny"
8,83.4395,84.812,82.238,4,2071-06-10,2071-06-13,160,6,4,0,0,0,3,2,0,81.2119999999999,0.993972602739726,0.999178082191781,0.988493150684931,55.3434849315068,71.1536823529412,"ny"
9,86.738,89.078,81.608,12,2071-06-20,2071-07-01,170,6,12,9,0,0,11,11,0,81.2119999999999,1,1,0.983013698630137,55.3434849315068,71.1536823529412,"ny"
10,86.89775,91.004,82.022,8,2071-07-04,2071-07-11,184,7,8,5,1,0,6,6,0,81.2119999999999,1,1,0.987945205479452,55.3434849315068,71.1536823529412,"ny"
11,84.278,84.992,83.318,3,2071-07-16,2071-07-18,196,7,3,0,0,0,3,2,0,81.2119999999999,0.997534246575343,0.999178082191781,0.993150684931507,55.3434849315068,71.1536823529412,"ny"
