"hw.number","mean.temp","max.temp","min.temp","length","start.date","end.date","start.doy","start.month","days.above.80","days.above.85","days.above.90","days.above.95","days.above.99th","days.above.99.5th","first.in.season","threshold","mean.temp.quantile","max.temp.quantile","min.temp.quantile","mean.temp.1","mean.summer.temp","city"
19,92.5249999999999,94.7659999999999,90.2839999999999,2,2074-07-29,2074-07-30,209,7,2,2,2,0,2,2,0,84.25436,0.998904109589041,0.999452054794521,0.996164383561644,49.6844378082192,67.2960352941176,"balt"
20,93.884,98.294,87.566,6,2074-08-12,2074-08-17,223,8,6,6,5,3,6,5,0,84.25436,0.998904109589041,1,0.991506849315068,49.6844378082192,67.2960352941176,"balt"
21,87.494,89.564,85.4239999999999,2,2075-05-15,2075-05-16,134,5,2,2,0,0,1,1,1,84.25436,0.991232876712329,0.995068493150685,0.984657534246575,49.6844378082192,67.2960352941176,"balt"
22,87.728,92.5159999999999,84.398,3,2075-05-21,2075-05-23,140,5,3,2,1,0,1,1,0,84.25436,0.991780821917808,0.998904109589041,0.980821917808219,49.6844378082192,67.2960352941176,"balt"
23,88.604,92.264,85.388,3,2075-07-05,2075-07-07,185,7,3,3,1,0,2,1,0,84.25436,0.993424657534247,0.998356164383562,0.984657534246575,49.6844378082192,67.2960352941176,"balt"
24,91.3388,98.7260000000001,84.956,10,2075-07-12,2075-07-21,192,7,10,9,7,2,8,7,0,84.25436,0.996986301369863,1,0.983835616438356,49.6844378082192,67.2960352941176,"balt"
25,90.599,94.82,86.648,4,2075-07-25,2075-07-28,205,7,4,4,2,0,2,2,0,84.25436,0.996438356164384,0.999452054794521,0.988767123287671,49.6844378082192,67.2960352941176,"balt"
26,91.067,92.1200000000001,90.014,2,2075-08-04,2075-08-05,215,8,2,2,2,0,2,2,0,84.25436,0.996986301369863,0.998082191780822,0.995342465753425,49.6844378082192,67.2960352941176,"balt"
27,89.5408571428571,94.478,84.8839999999998,14,2075-08-10,2075-08-23,221,8,14,13,6,0,12,6,0,84.25436,0.995068493150685,0.999178082191781,0.983561643835616,49.6844378082192,67.2960352941176,"balt"
28,90.5385714285714,93.6319999999999,86.954,7,2075-09-09,2075-09-15,251,9,7,7,4,0,7,5,0,84.25436,0.996164383561644,0.998904109589041,0.99041095890411,49.6844378082192,67.2960352941176,"balt"
